Station Code, RoadNo, Lat, Lon
BJP,R1,16.832918,75.739504
BJP,R1,16.832888,75.739507
BJP,R1,16.832857,75.739509
BJP,R1,16.832826,75.739511
BJP,R1,16.832793,75.739513
BJP,R1,16.832761,75.739517
BJP,R1,16.832728,75.739519
BJP,R1,16.832694,75.739521
BJP,R1,16.832659,75.739524
BJP,R1,16.832624,75.739525
BJP,R1,16.832588,75.739528
BJP,R1,16.832552,75.739531
BJP,R1,16.832516,75.739534
BJP,R1,16.83248,75.739537
BJP,R1,16.832444,75.739538
BJP,R1,16.832407,75.73954
BJP,R1,16.83237,75.739542
BJP,R1,16.832334,75.739543
BJP,R1,16.832298,75.739544
BJP,R1,16.832262,75.739544
BJP,R1,16.832227,75.739546
BJP,R1,16.832191,75.739548
BJP,R1,16.832155,75.73955
BJP,R1,16.832118,75.739552
BJP,R1,16.832082,75.739554
BJP,R1,16.832046,75.739555
BJP,R1,16.83201,75.739557
BJP,R1,16.831975,75.739559
BJP,R1,16.831938,75.73956
BJP,R1,16.831902,75.739561
BJP,R1,16.831866,75.739563
BJP,R1,16.831831,75.739564
BJP,R1,16.831795,75.739566
BJP,R1,16.83176,75.739567
BJP,R1,16.831725,75.739568
BJP,R1,16.83169,75.73957
BJP,R1,16.831655,75.739571
BJP,R1,16.831619,75.739572
BJP,R1,16.831585,75.739574
BJP,R1,16.83155,75.739575
BJP,R1,16.831515,75.739575
BJP,R1,16.831481,75.739576
BJP,R1,16.831446,75.739577
